id,company_name,inn,kpp,ogrn,okpo,legal_form,legal_address,status,inclusion_date
113,"АО ""Торговый Альянс дистрибуции Синергия""",7798522053,777205317,1167798101082,77736086,АО,"г. Москва, ул. Новая Басманная, д. 131, офис 296",Активен,2026-05-03
114,"АО ""Федеральное Снабжение Норд""",7798789194,777941595,1067776533133,36446953,АО,"г. Москва, ул. Пресненская набережная, д. 78, офис 247",На проверке,2026-02-07
115,"ООО ""Платформа транспорта Норд""",7749746162,779387652,1247771805363,21718022,ООО,"г. Москва, ул. Профсоюзная, д. 11, офис 450",На проверке,2026-05-27
116,"ПАО ""Оператор автоматизации Арсенал""",6141775920,616505008,1046186273898,54811734,ПАО,"г. Ростов-на-Дону, ул. Будённовский проспект, д. 149, офис 746",Активен,2026-04-21
117,"ПАО ""Центр медицины Запад""",7770222032,772877267,1227708325137,28721997,ПАО,"г. Москва, ул. Пресненская набережная, д. 95, офис 639",Активен,2026-01-25
118,"ООО ""Региональное Агентство производства Перспектива""",7782167527,774037392,1107716237870,78054546,ООО,"г. Москва, ул. Профсоюзная, д. 35, офис 271",Активен,2026-04-04
119,"ПАО ""Инновационный Партнер обслуживания""",7723821286,776745009,1167767184408,49876377,ПАО,"г. Москва, ул. Профсоюзная, д. 129, офис 676",Заблокирован,2026-02-11
120,"ООО ""Модуль консалтинга Эксперт""",6128985654,610035052,1126125362729,60010362,ООО,"г. Ростов-на-Дону, ул. Большая Садовая, д. 153, офис 664",Активен,2026-05-09
121,"ООО ""Надежный Интегратор производства""",7747866369,775690915,1207767273236,42971048,ООО,"г. Москва, ул. Варшавское шоссе, д. 66, офис 278",Приостановлен,2026-01-14
122,"ООО ""Экспертные Решения энергетики Перспектива""",7868444823,783368665,1047866972983,63847059,ООО,"г. Санкт-Петербург, ул. Петроградская, д. 180, офис 88",Активен,2026-05-10
123,"ООО ""Модуль производства Навигатор""",6666648357,668228109,1066678762619,90157302,ООО,"г. Екатеринбург, ул. Белинского, д. 4, офис 463",На проверке,2026-04-28
124,"ООО ""Деловое Агентство данных Гамма""",1672218134,169524351,1101667048881,91694494,ООО,"г. Казань, ул. Чистопольская, д. 183, офис 217",Активен,2026-02-09
125,"ООО ""Экспертная Автоматизация Эксперт""",7720515179,772670335,1207774850019,88483492,ООО,"г. Москва, ул. Мясницкая, д. 69, офис 46",Активен,2026-02-05
126,"АО ""Стратегическая Точка обслуживания Орион""",7734923940,774772235,1047789890305,30846953,АО,"г. Москва, ул. Мясницкая, д. 155, офис 228",На проверке,2026-02-03
127,"АО ""Сфера ритейла Формула""",7761303988,776809976,1127715467887,88766185,АО,"г. Москва, ул. Арбат, д. 40, офис 326",На проверке,2026-01-01
128,"ООО ""Деловое Бюро энергетики""",7722978426,770255377,1207760043888,69824432,ООО,"г. Москва, ул. Тверская, д. 44, офис 674",Активен,2026-02-09
129,"АО ""Системы обслуживания Бета""",7754074582,772723683,1227725484404,68362401,АО,"г. Москва, ул. Новая Басманная, д. 78, офис 635",Активен,2026-03-17
130,"АО ""Федеральный Комплекс Классик""",2386868064,235825468,1042397132813,96367731,АО,"г. Краснодар, ул. Ставропольская, д. 74, офис 278",Активен,2026-01-21
131,"ООО ""Центр маркетинга Запад""",7785213567,774825467,1047761205882,62524397,ООО,"г. Москва, ул. Профсоюзная, д. 6, офис 534",Архивный,2026-03-21
132,"ООО ""Стратегическая Логистика транспорта""",7784508869,770129715,1167706508372,15527743,ООО,"г. Москва, ул. Профсоюзная, д. 187, офис 131",Архивный,2026-05-03
133,"ООО ""Практика энергетики Гамма""",7771487529,779738498,1067741695822,67894539,ООО,"г. Москва, ул. Профсоюзная, д. 73, офис 673",В процессе ликвидации,2026-02-24
134,"ООО ""Стратегический Ресурс безопасности Актив""",7731244625,779636144,1207766151827,31354181,ООО,"г. Москва, ул. Варшавское шоссе, д. 166, офис 754",Приостановлен,2026-02-20
135,"ООО ""Стратегический Кластер медицины""",7847704683,784859806,1027817084758,00514440,ООО,"г. Санкт-Петербург, ул. Садовая, д. 130, офис 228",Активен,2026-04-19
136,"ООО ""Инженерный Ресурс Развитие""",7707771728,777545487,1027783521509,13519490,ООО,"г. Москва, ул. Покровка, д. 169, офис 666",Активен,2026-05-27
137,"ООО ""Региональная Дистрибуция экспорта Эксперт""",7790326813,771711616,1227731831899,19570199,ООО,"г. Москва, ул. Новая Басманная, д. 124, офис 305",На проверке,2026-05-26
138,"ООО ""Деловой Партнер строительства Логика""",7708508243,773331939,1207738978536,39131408,ООО,"г. Москва, ул. Пресненская набережная, д. 155, офис 206",На проверке,2026-02-23
139,"ООО ""Комплексное Снабжение Арсенал""",7758165142,777070162,1167777970008,60474704,ООО,"г. Москва, ул. Варшавское шоссе, д. 118, офис 112",Архивный,2026-05-26
140,"ООО ""Экспертный Контур Мастер""",7770377364,779416256,1027766098747,48410345,ООО,"г. Москва, ул. Профсоюзная, д. 115, офис 548",Активен,2026-01-16
141,"ООО ""Деловая Автоматизация Город""",7785950783,774121038,1127769720949,79182393,ООО,"г. Москва, ул. Варшавское шоссе, д. 147, офис 63",Приостановлен,2026-02-18
142,"ООО ""Альянс дистрибуции Драйв""",7748826235,776093228,1207714467976,30945245,ООО,"г. Москва, ул. Варшавское шоссе, д. 148, офис 807",Активен,2026-02-10
143,"ООО ""Инженерное Производство Дельта""",7829485619,783014299,1227883934796,34012062,ООО,"г. Санкт-Петербург, ул. Московский проспект, д. 93, офис 93",Активен,2026-04-24
144,"АО ""Альянс логистики Драйв""",7737866537,778138864,1127709695465,87060441,АО,"г. Москва, ул. Арбат, д. 26, офис 111",Активен,2026-05-15
145,"ООО ""Инновационное Снабжение Город""",6315266584,632013522,1246358966742,62146318,ООО,"г. Самара, ул. Молодогвардейская, д. 72, офис 376",Архивный,2026-03-20
146,"ООО ""Торговый Модуль Стандарт""",5260427330,528597097,1225266803404,23651564,ООО,"г. Нижний Новгород, ул. Горького, д. 163, офис 383",Заблокирован,2026-01-26
147,"ООО ""Современное Агентство строительства""",5486533559,548741446,1045453690110,69497401,ООО,"г. Новосибирск, ул. Советская, д. 41, офис 305",Архивный,2026-02-26
148,"ООО ""Комплексное Снабжение инжиниринга Эксперт""",5281526299,523506951,1205217071340,38729938,ООО,"г. Нижний Новгород, ул. Большая Покровская, д. 118, офис 293",Активен,2026-02-05
149,"ООО ""Технологии торговли Стандарт""",7775229141,778505756,1067735822114,45343385,ООО,"г. Москва, ул. Покровка, д. 45, офис 53",Заблокирован,2026-04-07
150,"АО ""Торговая Группа финансов Плюс""",1608731338,160218364,1101675967299,61977666,АО,"г. Казань, ул. Баумана, д. 29, офис 500",На проверке,2026-04-25
